legacy_detail_id,order_no,defect_code,symptom,critical_rank,quantity
78adf8e8,QC26060085,"12308 , 12311","สีไม่ตรง STD /Color off Standard , คราบวาสลีน/Vaseline stain",Minor,39
ef605e3a,QC26060085,"12308 , 12313","สีไม่ตรง STD /Color off Standard , เป็นเม็ด/Dot",Minor,3
5aedaf69,QC26060085,"12308 , 12309","สีไม่ตรง STD /Color off Standard , จุดสี/color dot",Minor,2
91c5017c,QC26060085,"12308 , 12312","สีไม่ตรง STD /Color off Standard , คราบสกปรก/Dirty",Minor,3
aebab49b,QC26060085,"12308 , 12304","ถลอก/Peel off , สีไม่ตรง STD /Color off Standard",Minor,1
c08c07a4,QC26060087,12308,สีไม่ตรง STD /Color off Standard,Minor,306
3efe4ff7,QC26060087,"12308 , 12367","สีไม่ตรง STD /Color off Standard , รอยกดทับ/Pressure marks",Minor,4
fc1d6f18,QC26060087,"12308 , 12310","สีไม่ตรง STD /Color off Standard , ฝุ่น/Dust",Minor,3
ccc4196f,QC26060087,"12308 , 12309","สีไม่ตรง STD /Color off Standard , จุดสี/color dot",Minor,2
cfcd16f2,QC26060088,12308,สีไม่ตรง STD /Color off Standard,Minor,572
bfc6e6ec,QC26060088,"12308 , 12311","สีไม่ตรง STD /Color off Standard , คราบวาสลีน/Vaseline stain",Minor,42
2ea69ad1,QC26060088,"12308 , 12306","ร้าว/crack , สีไม่ตรง STD /Color off Standard",Critical,15
da4cb684,QC26060088,"12308 , 12327","สีไม่ตรง STD /Color off Standard , รอยขีด/scratch mark",Minor,1
3625a1ce,QC26060089,12308,สีไม่ตรง STD /Color off Standard,Minor,358
0915f05c,QC26060089,"12308 , 12311","สีไม่ตรง STD /Color off Standard , คราบวาสลีน/Vaseline stain",Minor,36
64a6c62e,QC26060089,"12308 , 12312","สีไม่ตรง STD /Color off Standard , คราบสกปรก/Dirty",Minor,1
7da83d89,QC26060089,"12308 , 12309","สีไม่ตรง STD /Color off Standard , จุดสี/color dot",Minor,1
06610dec,QC26060089,"12308 , 12327","สีไม่ตรง STD /Color off Standard , รอยขีด/scratch mark",Minor,1
b6133660,QC26060089,"12308 , 12346","สีไม่ตรง STD /Color off Standard , คราบกาว/glue stains",Minor,1
44093690,QC26060089,"12308 , 12306","ร้าว/crack , สีไม่ตรง STD /Color off Standard",Critical,1
a33e9f55,QC26060089,"12308 , 12130","ปิดไม่สนิท , สีไม่ตรง STD /Color off Standard",Major,1
68b8d3ec,QC26060090,11010,พิมพ์แตก/Printing cracked,Minor,24
f0c50176,QC26060090,12304,ถลอก/Peel off,Minor,17
64aa9bd7,QC26060090,12301,รอยด่าง/stain spot,Minor,3
d54dc4f5,QC26060090,12309,จุดสี/color dot,Minor,2
fa22c6ff,QC26060091,12324,เสียรูปทรง/Deform,Minor,7
320444f0,QC26060092,12344,เคลือบไม่เต็ม/not fully coating,Minor,8
abf1e550,QC26060092,12327,รอยขีด/scratch mark,Minor,5
8572509e,QC26060092,12341,เปื้อนสี / stain color,Minor,2
b51b94fd,QC26060099,12308,สีไม่ตรง STD /Color off Standard,Minor,274
d05bfd0f,QC26060099,"11018 , 12308","พิมพ์ไม่สม่ำเสมอ , สีไม่ตรง STD /Color off Standard",Minor,34
97ad080f,QC26060099,"12324 , 12308","สีไม่ตรง STD /Color off Standard , เสียรูปทรง/Deform",Minor,5
5bc5b2ff,QC26060099,"12310 , 12308","สีไม่ตรง STD /Color off Standard , ฝุ่น/Dust",Minor,1
4a7a1c1b,QC26060099,"12356 , 12308","สีไม่ตรง STD /Color off Standard , เส้นผม/hair",Critical,1
31438968,QC26060100,12308,สีไม่ตรง STD /Color off Standard,Minor,283
f90aa29c,QC26060100,"11018 , 12308","พิมพ์ไม่สม่ำเสมอ , สีไม่ตรง STD /Color off Standard",Minor,27
fef4b6d0,QC26060100,"12324 , 12308","สีไม่ตรง STD /Color off Standard , เสียรูปทรง/Deform",Minor,5
cb10cf04,QC26060101,12308,สีไม่ตรง STD /Color off Standard,Minor,306
e799706a,QC26060101,"12324 , 12308","สีไม่ตรง STD /Color off Standard , เสียรูปทรง/Deform",Minor,5
cee16698,QC26060101,"12309 , 12308","สีไม่ตรง STD /Color off Standard , จุดสี/color dot",Minor,2
9b6436da,QC26060101,"11018 , 12308","พิมพ์ไม่สม่ำเสมอ , สีไม่ตรง STD /Color off Standard",Minor,2
ada12251,QC26060104,12308,สีไม่ตรง STD./Color off Standard,Minor,470
09b2be99,QC26060104,"12309 , 12308","สีไม่ตรง STD./Color off Standard , จุดดำ/Black dot",Minor,28
6bf7ed8e,QC26060104,"12312 , 12308","สีไม่ตรง STD./Color off Standard , คราบสกปรก/Dirty",Minor,1
12183dba,QC26060104,"11003 , 12308","พิมพ์ซ้อน/Printing overlap , สีไม่ตรง STD/Color off Standard",Minor,1
208ad1aa,QC26060105,12309,จุดดำ/Black dot,Minor,6
05b5a81d,QC26060106,11003,พิมพ์ซ้อน/Printing overlap,Minor,47
7142bdbf,QC26060106,12309,จุดดำ/Black dot,Minor,21
d7fb28de,QC26060106,12301,รอยด่าง/stain spot,Minor,1
f8860b97,QC26060106,12341,เปื้อนสี / Color stain,Minor,1
b146a009,QC26060107,12308,สีไม่ตรง STD./Color off Standard,Minor,200
a379ca1c,QC26060108,12308,สีไม่ตรง STD./Color off Standard,Minor,200
d4f1da6f,QC26060109,12308,สีไม่ตรง STD./Color off Standard,Minor,77
f0bb378b,QC26060109,"12309 , 12308","สีไม่ตรง STD./Color off Standard , จุดดำ/Black dot",Minor,2
a29d30bd,QC26060109,"12341 , 12308","สีไม่ตรง STD./Color off Standard , เปื้อนสี / Color stain",Minor,1
ba4806d7,QC26060110,12312,คราบสกปรก/Dirty,Minor,3
deb61075,QC26060110,14127,ประกอบไม่สนิท / Assembly incomplete,Minor,3
88779efc,QC26060110,12120,ห่าง/Gap,Minor,1
1832a053,QC26060111,11009,พิมพ์ถลอก/Printing peeling,Minor,12
c494a84c,QC26060112,12308,สีไม่ตรง STD./Color off Standard,Minor,200
5ef58218,QC26060115,12308,สีไม่ตรง STD./Color off Standard,Minor,1000
19267f74,QC26060118,12308,สีไม่ตรง STD./Color off Standard,Minor,21
ee521c08,QC26060118,"12308 , 12309","สีไม่ตรง STD./Color off Standard , จุดดำ/Black dot",Minor,9
1305526b,QC26060118,"12308 , 12301","รอยด่าง/stain spot , สีไม่ตรง STD./Color off Standard",Minor,2
